77/10 02S 146E     3 
77/10 03S 149E     7 
77/10 04S 150E    13 
                     AY02118                U    
77/10 04S 151E     2 
77/10 04S 153E     1 
77/10 06S 152E     2 
77/10 08S 155E  1177 
                     SB01229 78/02 19S 177E PL FJ
                     SB01204 78/02 19S 177E PL FJ
                     SB01535 78/02 19S 177E PL FJ
                     SB01534 78/02 19S 177E PL FJ
                     SB01520 78/02 19S 177E PL FJ
                     SB01511 78/02 19S 177E PL FJ
                     SB01504 78/02 19S 177E PL FJ
                     SB01293 78/02 19S 177E PL FJ
                     SB01256 78/02 19S 177E PL FJ
                     SB01236 78/02 19S 177E PL FJ
                     SB01616 78/02 19S 177E PL FJ
                     SB01582 78/02 19S 177E PL FJ
                     SB01233 78/02 19S 177E PL FJ
                     SB01183 78/02 19S 177E PL FJ
                     SB01125 78/02 19S 177E PL FJ
                     SB01103 78/02 19S 177E PL FJ
                     SB00283 78/02 19S 177E PL FJ
                     SB00636 78/02 19S 177E PL FJ
                     SB00668 78/02 19S 177E PL FJ
                     SB00694 78/02 19S 177E PL FJ
                     SB00648 78/02 19S 177E PL FJ
                     SB00804 78/02 19S 177E PL FJ
                     SB00801 78/02 19S 177E PL FJ
                     SB00800 78/02 19S 177E PL FJ
                     SB00799 78/02 19S 177E PL FJ
                     SB00798 78/02 19S 177E PL FJ
                     SB00790 78/02 19S 177E PL FJ
                     SB00811 78/02 19S 178E PL FJ
                     SB01141 78/02 19S 178E PL FJ
                     SB00815 78/02 20S 177E PL FJ
                     SB00846 78/02 20S 177E PL FJ
                     SB00861 78/02 20S 177E PL FJ
                     SB01715 78/02 20S 177E PL FJ
                     SB01710 78/02 20S 177E PL FJ
                     SB01620 78/02 20S 177E PL FJ
                     SB01548 78/02 20S 177E PL FJ
                     SB01542 78/02 20S 177E PL FJ
                     SB01539 78/02 20S 177E PL FJ
                     SB01249 78/02 20S 177E PL FJ
                     SB01208 78/02 20S 177E PL FJ
                     SB01175 78/02 20S 177E PL FJ
                     SB01154 78/02 20S 177E PL FJ
                     SB01149 78/02 20S 177E PL FJ
                     SB01146 78/02 20S 177E PL FJ
                     SB01144 78/02 20S 177E PL FJ
                     SB01138 78/02 20S 177E PL FJ
                     SB01528 78/02 20S 177E PL FJ
                     SB01388 78/02 20S 177E PL FJ
                     SB01344 78/02 20S 177E PL FJ
                     SB01297 78/02 20S 177E PL FJ
                     SB01259 78/02 20S 177E PL FJ
                     SB01127 78/02 20S 177E PL FJ
                     SB01115 78/02 20S 177E PL FJ
                     SB00997 78/02 20S 177E PL FJ
                     SB00967 78/02 20S 177E PL FJ
                     SB00950 78/02 20S 177E PL FJ
                     SB00882 78/02 20S 177E PL FJ
                     SB00870 78/02 20S 177E PL FJ
                     SB00643 78/02 20S 177E PL FJ
                     SB00688 78/02 20S 177E PL FJ
                     SB00647 78/02 20S 177E PL FJ
                     SB00794 78/02 20S 177E PL FJ
                     SB01296 78/02          PL FJ
                     SB00978 78/03 19S 177E PL FJ
                     SB01514 78/03 19S 177E PL FJ
                     SB01324 78/03 19S 177E PL FJ
                     SB01276 78/03 19S 177E PL FJ
                     SB01252 78/03 19S 177E PL FJ
                     SB01172 78/03 19S 177E PL FJ
                     SB01135 78/03 19S 177E PL FJ
                     SB00241 78/03 19S 177E PL FJ
                     SB00666 78/03 19S 177E PL FJ
                     SB00852 78/03 20S 177E PL FJ
                     SB01205 78/03 20S 177E PL FJ
                     SB00981 78/03 20S 177E PL FJ
                     SB01719 78/03 20S 177E PL FJ
                     SB01181 78/04 18S 179E PL FJ
                     SB00276 78/05 18S 178E PL FJ
                     SB01594 78/06          PL FJ
                     SB01242 78/06 17S 179E PL FJ
                     SB00987 78/11          PL FJ
                     SB01247 78/11          PL FJ
                     SB00252 78/11          PL FJ
                     SB00259 78/11          PL FJ
