1978/09 10S 159E 63          276.08
1978/09 10S 160E 5          27.5
1978/09 10S 161E 1          0.4
1978/09 11S 159E 1          0.5
1978/10 08S 156E 44          163.38
1978/10 08S 157E 49          219.6
1978/10 08S 158E 30          112.34
1978/10 08S 159E 3          8
1978/10 09S 156E 48          236.7
1978/10 09S 157E 38          177.88
1978/10 09S 158E 28          94.56
1978/10 09S 159E 31          107.5
1978/10 09S 160E 67          230.36
1978/10 09S 161E 1          0.2
1978/10 10S 156E 4          18.2
1978/10 10S 157E 37          223.87
1978/10 10S 158E 14          67.6
1978/10 10S 159E 44          122.9
1978/10 10S 160E 50          231.47
1978/10 10S 161E 8          15
1978/11 07S 157E 1          7
1978/11 08S 156E 38          179.64
1978/11 08S 157E 31          122.65
1978/11 08S 158E 13          61.89
1978/11 08S 159E 2          0
1978/11 08S 160E 8          42.26
1978/11 09S 156E 60          231.4
1978/11 09S 157E 47          217.35
1978/11 09S 158E 26          71.42
1978/11 09S 159E 26          74.2
1978/11 09S 160E 50          153.85
1978/11 09S 161E 1          0
1978/11 10S 156E 12          53.11
1978/11 10S 157E 43          178.42
1978/11 10S 158E 11          37.5
1978/11 10S 159E 72          290.88
1978/11 10S 160E 47          197.9
1978/11 10S 161E 19          70.9
1978/11 10S 162E 5          24.5
1978/11 11S 160E 2          1
1978/11 11S 161E 1          3
1978/12 07S 157E 2          3
1978/12 07S 158E 2          3
1978/12 08S 156E 34          69.4
1978/12 08S 157E 26          29.44
1978/12 08S 158E 17          41.44
1978/12 08S 159E 8          17
1978/12 08S 160E 14          23.09
1978/12 09S 156E 32          44.78
1978/12 09S 157E 62          113.25
1978/12 09S 158E 35          53.18
1978/12 09S 159E 20          38
1978/12 09S 160E 22          23.05
1978/12 09S 161E 2          0
1978/12 10S 156E 11          18.5
1978/12 10S 157E 46          111.27
1978/12 10S 158E 79          218.44
1978/12 10S 159E 57          151.16
1978/12 10S 160E 29          58.24
1978/12 10S 161E 20          23.21
1978/12 10S 162E 2          4.5
1979/01 07S 157E 1          3
1979/01 07S 158E 1          3
1979/01 08S 156E 15          69.4
1979/01 08S 157E 11          29.44
1979/01 08S 158E 7          41.44
1979/01 08S 159E 3          17
1979/01 08S 160E 6          23.09
1979/01 09S 156E 14          44.78
1979/01 09S 157E 27          113.25
1979/01 09S 158E 15          53.18
1979/01 09S 159E 9          38
1979/01 09S 160E 9          23.05
1979/01 09S 161E 1          0
1979/01 10S 156E 5          18.5
1979/01 10S 157E 20          111.27
1979/01 10S 158E 34          218.44
1979/01 10S 159E 25          151.16
1979/01 10S 160E 13          58.24
1979/01 10S 161E 9          23.21
1979/01 10S 162E 1          4.5
1979/03 09S 156E 0          57.62
