1980/04 20S 177E       1       2.30
1980/05 16S 178W       3       8.90
1980/05 17S 178E       4       3.30
1980/05 17S 179E      49      42.70
1980/05 18S 178E       3        .80
1980/05 18S 179E       2        .30
1980/05 19S 177E       1        .00
1980/06 16S 178W       6       8.60
1980/06 16S 180W       6       1.40
1980/06 17S 179E       1        .00
1980/06 19S 179E       1      10.70
1980/06 19S 179W       2       3.70
1980/06 20S 179E       1      11.10
1980/06 20S 179W       2       4.00
1980/07 15S 180W       5      25.70
1980/07 16S 178E       1        .00
1980/07 16S 180W       3      16.00
1980/07 17S 179E       4       4.90
1980/07 17S 180W       1        .40
1980/07 18S 179E       1        .00
1980/07 18S 180W       2        .40
1980/07 19S 176E       1        .00
1980/07 19S 180W       2       2.80
1980/08 15S 180W       2       2.80
1980/08 16S 179E       3       8.00
1980/08 16S 180W       2       3.70
1980/08 17S 179E      13      10.90
1980/09 15S 180W       3       2.30
1980/09 16S 177E       2        .00
1980/09 16S 178W       5      11.40
1980/09 16S 179E       3       1.70
1980/09 16S 179W       2      17.90
1980/09 17S 179E       3       2.00
1980/09 18S 178W       4      18.80
1980/09 19S 180W       2       1.20
1980/09 21S 178W       1        .70
1981/01 16S 180W       3        .00
1981/01 17S 179E       6      39.50
1981/01 17S 179W       6      11.30
1981/01 17S 180W       2       1.60
1981/01 18S 178E       1       3.00
1981/01 18S 179E      22      14.60
1981/01 18S 180W      17      14.00
1981/01 19S 177E      27      54.50
1981/01 19S 178E       9      20.00
1981/01 19S 179E      20      12.40
1981/01 19S 180W       1       3.00
1981/01 20S 177E      16       8.60
1981/01 20S 178E       3       3.60
1981/02 16S 178E       1      16.70
1981/02 16S 179E       3       5.00
1981/02 16S 180W       6      10.00
1981/02 17S 179E       1        .00
1981/02 17S 179W       5      10.90
1981/02 17S 180W      12      55.30
1981/02 18S 179E       2        .00
1981/02 18S 179W       5      20.00
1981/02 18S 180W      20       6.00
1981/02 19S 177E       1        .00
1981/02 19S 179E       4       5.00
1981/02 19S 180W       2      10.90
1981/02 20S 177E       3        .00
1981/03 16S 179E       7       8.00
1981/03 16S 180W       4      14.50
1981/03 17S 178W       2      32.00
1981/03 17S 179E       2        .00
1981/03 17S 179W      18      41.60
1981/03 17S 180W       9      33.30
1981/03 18S 178W       1       1.10
1981/03 18S 179W       9       3.00
1981/03 18S 180W      10       1.00
1981/03 19S 177E       6      13.10
1981/03 19S 179E       1        .00
1981/03 19S 179W       1        .00
1981/03 20S 179E       2        .00
1981/04 16S 178W       1        .00
1981/04 16S 179E       3        .00
1981/04 16S 180W      10      35.10
1981/04 17S 179E       8        .00
1981/04 17S 179W      17       2.10
1981/04 17S 180W       1        .00
1981/04 18S 179E       7        .00
1981/04 18S 179W       2        .00
1981/04 18S 180W      10        .00
1981/04 19S 177E       3       4.30
1981/04 19S 179E       3        .00
1981/04 19S 180W       1        .00
1981/05 16S 178E       3        .00
1981/05 16S 179E       2        .00
1981/05 17S 178E      19      30.30
1981/05 17S 179E       2        .00
1981/05 18S 179E       3        .00
1981/05 18S 180W       6        .00
1981/05 19S 177E       3        .00
1981/05 19S 178E       1        .00
1981/05 19S 179E       2        .00
1981/06 15S 178E       2       9.10
1981/06 15S 179E       1        .30
1981/06 16S 178E       2       3.00
1981/06 16S 180W       2       5.10
1981/06 17S 178E      20      48.40
1981/06 17S 178W       1        .00
1981/06 17S 179E      22      33.00
1981/06 17S 179W       2       9.00
1981/06 17S 180W       2       2.50
1981/06 18S 179E       3        .10
1981/06 18S 180W      11      28.60
1981/06 19S 180W       3      49.20
1981/06 20S 178W       1       1.40
1981/06 21S 178W       1       2.20
1981/07 15S 178E       1       4.10
1981/07 15S 178W       1       1.10
1981/07 15S 180W       2       6.00
1981/07 16S 177E       1        .00
1981/07 16S 178E       7      20.70
1981/07 16S 178W       1        .50
1981/07 16S 179E       6      30.00
1981/07 17S 178E       5       7.10
1981/07 17S 179E      36      58.50
1981/07 17S 180W       4       7.20
1981/07 18S 175E       1       4.60
1981/07 18S 178E       5       4.80
1981/07 18S 178W       1       2.10
1981/07 18S 179E      10       7.50
1981/07 18S 179W       1       9.90
1981/07 18S 180W       5      17.00
1981/07 19S 177E       5       2.60
1981/07 19S 178E       1        .00
1981/07 19S 178W       2      16.00
1981/07 19S 179E       1       1.30
1981/07 19S 180W       6      18.40
1981/07 20S 176E       1       5.10
1981/07 20S 177E       1        .00
1981/07 20S 178W       5      29.10
1981/07 21S 179E       2       3.50
1981/08 15S 178E       1       7.10
1981/08 15S 179E       1        .70
1981/08 15S 180W       1       2.20
1981/08 16S 179E       7       4.50
1981/08 17S 178E       4       6.20
1981/08 17S 179E       1        .30
1981/08 18S 178E       1       1.30
1981/08 18S 180W       1       6.40
1981/08 19S 179W       1       7.30
1981/08 19S 180W       2      15.80
1981/08 20S 176E       1       2.70
1981/08 20S 180W       1       8.00
1981/08 21S 179E       1       5.20
1981/10 00N 180W       2      10.80
1981/10 16S 179E       2       6.00
1981/10 16S 179W       1       1.00
1981/10 16S 180W       1       2.00
1981/10 17S 178E       1        .30
1981/10 17S 179E       3       4.30
1981/10 17S 179W       6       8.80
1981/10 17S 180W       1       2.00
1981/10 18S 178E       1        .00
1981/10 18S 180W       6      10.30
1981/10 19S 177E       7       8.50
1981/11 16S 179E      11      14.90
1981/11 16S 180W       2        .00
1981/11 17S 179E       5        .30
1981/11 17S 180W       1        .00
1981/11 18S 178E       1        .00
1981/11 18S 179E       5       3.50
1981/11 18S 179W       2        .80
1981/11 18S 180W       7       4.30
1981/11 19S 177E       2        .30
1981/11 19S 178E       1       2.00
1981/11 19S 179E       8      17.90
1981/11 20S 177E      13      22.00
1981/11 20S 178E      10      11.40
1981/11 20S 179W       2       5.00
1981/12 16S 178E       1       2.40
1981/12 16S 179E      10      18.40
1981/12 16S 180W       2       1.80
1981/12 17S 178E      16      25.50
1981/12 17S 178W       1       1.10
1981/12 17S 179E      14      14.00
1981/12 17S 179W      11      25.20
1981/12 17S 180W       8      10.40
1981/12 18S 179E       8       9.30
1981/12 18S 179W       6      25.50
1981/12 18S 180W      16      19.00
1981/12 19S 179E       7       1.60
1981/12 20S 177E      11      12.60
1982/01 16S 178E       2       3.20
1982/01 16S 179E       5      16.70
1982/01 16S 180W       1       1.00
1982/01 17S 178E       3       5.20
1982/01 17S 178W       1      10.40
1982/01 17S 179E       8      37.00
1982/01 17S 180W       4      11.90
1982/01 18S 178E       4       8.00
1982/01 18S 179E       3       5.00
1982/01 18S 179W       5      25.10
1982/01 18S 180W       8      28.10
1982/01 19S 178E      10       8.10
1982/01 19S 179E      13      27.40
1982/01 19S 180W      14      24.50
1982/01 20S 176E       5      10.20
1982/01 20S 177E      22      57.00
1982/01 20S 178E       9      16.70
1982/01 20S 179E      23      50.70
1982/01 20S 180W       8      49.50
1982/01 21S 177E      37     113.40
1982/01 21S 178E       7      12.70
1982/01 21S 179E       1       4.50
1982/01 21S 179W       1      20.00
1982/01 21S 180W       5      32.40
1982/02 16S 180W       1       2.40
1982/02 17S 179E       2       8.00
1982/02 18S 178E       6      11.90
1982/02 18S 179E       8      13.80
1982/02 18S 179W       9      44.60
1982/02 18S 180W       8      31.50
1982/02 19S 179E      22      63.30
1982/02 19S 179W       3      16.60
1982/02 19S 180W       9      23.90
1982/02 20S 177E      38      89.40
1982/02 20S 178E      13      24.00
1982/02 20S 179E      44     135.90
1982/02 20S 179W       4      12.90
1982/02 20S 180W      22      86.40
1982/02 21S 177E      12      18.80
1982/02 21S 178E       4       4.70
1982/02 21S 179E       4      14.10
1982/02 21S 179W       2       8.90
1982/02 21S 180W      11      39.70
1982/03 15S 179E       1       9.20
1982/03 16S 178E       5      21.10
1982/03 16S 179E       3       8.60
1982/03 16S 180W       4       3.00
1982/03 17S 178E       1       2.60
1982/03 17S 179E      22      97.60
1982/03 17S 179W       4      22.80
1982/03 17S 180W       1        .00
1982/03 18S 178E      20      58.00
1982/03 18S 179E      45      91.10
1982/03 18S 179W       3       7.60
1982/03 18S 180W      13      41.50
1982/03 19S 177E       1        .90
1982/03 19S 178E       2       3.20
1982/03 19S 178W       2       6.50
1982/03 19S 179E      48     146.60
1982/03 19S 180W      14      28.90
1982/03 20S 177E      12      29.20
1982/03 20S 178E      23      44.40
1982/03 20S 179E       9      23.30
1982/03 20S 180W       2       7.00
1982/03 21S 177E       3        .00
1982/03 21S 180W       1       4.90
1982/04 16S 179E       1       1.40
1982/04 16S 179W       1       1.20
1982/04 16S 180W       1       1.90
1982/04 17S 178E       6      20.40
1982/04 17S 179E      33      71.10
1982/04 17S 179W       1       2.60
1982/04 17S 180W       2       3.50
1982/04 18S 178E      32      59.90
1982/04 18S 179E      36      58.70
1982/04 18S 179W       3       9.30
1982/04 18S 180W      38     129.80
