1977/11 04S 151E      60      82.58
1977/11 05S 148E       2        .78
1977/11 05S 150E     104     235.62
1977/11 05S 151E      72      98.01
1977/11 07S 148E      88     155.67
1977/11 07S 149E      37      52.07
1977/11 08S 148E       3       5.65
1977/12 02S 147E       8       6.53
1977/12 02S 150E      22      42.68
1977/12 03S 149E      12      54.91
1977/12 03S 150E      17      44.98
1977/12 04S 149E       1       1.14
1977/12 04S 150E     131     436.22
1977/12 04S 151E     113     208.00
1977/12 05S 150E      19      40.82
1977/12 05S 151E      17      20.27
1977/12 07S 148E     161      99.72
1977/12 07S 149E      68      36.30
1977/12 07S 150E      10       7.41
1978/01 02S 146E       5       2.44
1978/01 02S 147E       2        .00
1978/01 02S 150E       2       1.84
1978/01 03S 149E       2       2.62
1978/01 03S 150E       6      12.53
1978/01 04S 149E       2        .73
1978/01 04S 150E      21      25.44
1978/01 07S 148E       1        .00
1978/01 07S 149E       1        .00
1978/01 07S 150E      18       5.74
1978/01 11S 147E      19      37.95
1978/01 11S 148E      16      82.68
1978/02 02S 147E       1        .00
1978/02 03S 150E       8      18.02
1978/02 04S 150E      20      24.53
1978/02 05S 151E       1        .00
1978/02 07S 149E       2       1.58
1978/02 07S 150E       2        .97
1978/02 11S 146E       1       3.22
1978/02 12S 146E       1       2.00
1978/02 12S 147E       3      22.80
1978/02 12S 148E      20     127.39
1978/03 02S 146E       2        .79
1978/03 02S 147E       3       1.72
1978/03 02S 149E       7      24.61
1978/03 02S 150E      79     193.55
1978/03 02S 151E      10      28.23
1978/03 03S 149E      14      33.15
1978/03 03S 150E      44     133.87
1978/03 03S 151E       2        .59
1978/03 04S 150E     137     259.74
1978/03 04S 151E      24      20.27
1978/03 05S 149E       1        .00
1978/03 05S 150E      21      11.39
1978/03 05S 151E       7       4.57
1978/03 06S 149E       1        .00
1978/03 07S 150E       1        .00
1978/03 11S 147E      10      17.34
1978/03 11S 148E      77     197.39
1978/03 11S 149E      11      27.03
1978/03 12S 147E       1        .00
1978/03 12S 148E       2      11.05
1978/03 12S 149E      15      46.61
1978/04 02S 146E      15      27.44
1978/04 02S 147E      44     163.28
1978/04 02S 149E      23      39.70
1978/04 02S 150E     106     225.16
1978/04 03S 146E       3      21.47
1978/04 03S 147E       3       7.19
1978/04 03S 149E      41      76.87
1978/04 03S 150E     260     732.67
1978/04 03S 151E       6      10.99
1978/04 04S 149E       1       8.23
1978/04 04S 150E     101     183.50
1978/04 04S 151E      67     121.49
1978/04 05S 149E      63     166.82
1978/04 05S 150E      17      21.09
1978/04 05S 151E      28      37.33
1978/04 06S 149E      37      91.02
1978/05 02S 146E      34      88.58
1978/05 02S 147E      97     267.52
1978/05 02S 149E       9      10.37
1978/05 02S 150E      40     135.77
1978/05 02S 151E       1       3.91
1978/05 03S 147E       1        .59
1978/05 03S 149E      30     169.67
1978/05 03S 150E     163     747.68
1978/05 03S 151E       1       2.40
1978/05 04S 149E       3      17.33
1978/05 04S 150E     359    1973.10
1978/05 04S 151E      33     163.41
1978/05 05S 149E      38     126.47
1978/05 05S 150E       1       8.11
1978/05 05S 151E     232    1211.50
1978/05 06S 148E       3       4.92
1978/05 06S 149E      82     222.82
1978/05 06S 151E       1       7.63
1978/06 02S 147E      34     120.19
1978/06 02S 149E      14      55.94
1978/06 02S 150E      23     103.00
1978/06 03S 147E       3       4.71
1978/06 03S 149E      73     454.97
1978/06 03S 150E     359    1514.54
1978/06 03S 151E       1        .50
1978/06 04S 149E      14      73.65
1978/06 04S 150E     219     971.21
1978/06 04S 151E       7      24.10
1978/06 05S 151E     399    1691.67
1978/07 02S 146E       4      11.25
1978/07 02S 147E      37     137.09
1978/07 02S 149E       2       4.70
1978/07 02S 150E       8      35.28
1978/07 03S 147E       3       6.51
1978/07 03S 149E     158     892.10
1978/07 03S 150E     595    2936.78
1978/07 03S 151E       2      23.77
1978/07 04S 150E      38     193.68
1978/07 05S 149E       4       9.78
1978/07 05S 150E       7       2.66
1978/07 05S 151E     219     605.34
1978/07 06S 149E      87     228.79
1978/07 06S 150E       1        .86
1978/07 06S 151E       1       2.30
1978/08 02S 146E       8      29.87
1978/08 02S 147E      37     103.74
1978/08 02S 148E       1        .44
1978/08 02S 149E      14      85.89
1978/08 02S 150E     177    1508.18
1978/08 03S 148E       1       1.18
1978/08 03S 149E     129     670.81
1978/08 03S 150E     451    2818.31
1978/08 04S 150E      32     217.82
1978/08 05S 151E     304    1281.76
1978/09 02S 147E      42     148.16
1978/09 02S 149E      26     179.29
1978/09 02S 150E      94     690.83
1978/09 03S 149E     107     686.05
1978/09 03S 150E     321    1925.42
1978/09 03S 151E       4      13.57
1978/09 04S 149E       1       8.16
1978/09 04S 150E     118     742.36
1978/09 04S 151E      85     515.79
1978/09 05S 150E      60     384.97
1978/09 05S 151E     208    1243.96
1978/10 02S 147E      11      28.77
1978/10 02S 149E      30     194.24
1978/10 02S 150E     156    1023.14
1978/10 02S 151E       1        .00
1978/10 03S 149E      83     440.96
1978/10 03S 150E     377    1639.32
1978/10 03S 151E      16      96.44
1978/10 04S 149E       2       9.19
1978/10 04S 150E     112     619.17
1978/10 04S 151E     224    1005.30
1978/10 05S 150E      93     526.11
1978/10 05S 151E     164     798.06
1978/11 02S 149E       6      31.27
1978/11 02S 150E     118     642.46
1978/11 03S 149E      19      63.86
1978/11 03S 150E     414    1875.13
1978/11 03S 151E      57     305.85
1978/11 04S 150E     140     672.06
1978/11 04S 151E     144     807.00
1978/11 05S 150E     108     647.28
1978/11 05S 151E     148     748.19
1978/12 02S 150E      23      46.63
1978/12 03S 150E      91     207.86
1978/12 04S 150E      21      74.52
1978/12 04S 151E      97     306.52
1978/12 05S 149E      13     112.51
1978/12 05S 150E      63     247.79
1978/12 05S 151E      34     118.87
1978/12 07S 148E      11      79.61
1978/12 07S 149E      50     402.81
1978/12 07S 150E      17     146.33
1979/01 07S 149E      49     216.43
1979/01 07S 150E     123     442.13
1979/01 08S 150E      38     222.94
1979/01 11S 147E      13      92.54
1979/01 11S 148E      35     190.46
1979/02 02S 150E       5      50.25
1979/02 03S 150E      10      57.82
1979/02 07S 150E      65     254.05
1979/02 11S 147E      27     184.59
1979/02 11S 148E      99     481.85
1979/03 02S 149E       9      23.08
1979/03 02S 150E      73     376.29
1979/03 02S 151E       2       8.70
